author	title	Price	inStock	publisher
Khin Khin Htoo	ဝတ္ထုတို ၅ ပုဒ်	1,500 	0 	
Khin Khin Htoo	ဇော်နီကွမ်းသွေးဝတ္ထုတို(၅)ပုဒ်	1,200 	0 	
Khin Khin Htoo	ပန်းကြာဝတ်မှုံ	6,000 	0 	
Ko Ko Lay	ခရူးဆိတ်စစ်ပွဲများ	13,000 	0 	
Kyal Sin Yu Mon	အာဟာရဒိုင်ယာရီ	6,500 	0 	
Kyar Pauk	ကြောင်စာ	4,500 	0 	NDSP
Kyaw Yin Myint 	ဘုန်ကြီးကျောင်းမှာဘီးရောင်းမယ်	4,000 	1 	
Kyi Aye	မီ	1,500 	0 	
Kyi Aye	မောင်၊ ကိုကို နှင့်မြနန္ဒာ	3,000 	0 	
Kyi Aye	နွမ်းလျအိမ်ပြန်	1,500 	0 	
Lal Twin Thar Saw Chit	ကျွန်တော် အမုန်းဆုံး ကျွန်တော်	3,000 	0 	
Lu Du Daw AMar	၁၂ ပွဲဈေးသည်နှင့် ကျွန်မတို့ အညာ	4,500 	0 	LuDu
Lu Thar Man	ပေးရှန့်စ်	1,500 	0 	
Lynn Khant	ဖောရက်စ်ဂမ့်	4,500 	0 	
Lynn Tint Thiha	လူနာ	4,000 	1 	
Lynn Yaung Sin	ငါ့အတွက်ငါရှိတယ်	3,000 	0 	
Lynn Yaung Sin	ချစ်တယ်	3,000 	0 	
Ma Sandar	ဆဠဂံ	4,000 	0 	
Ma Thida (Sanchaung)	မျိုုမြို့	2,500 	0 	NDSP
Ma Thida (Sanchaung)	စမ်းချောင်းအင်းစိန် ဟားဗက်	4,000 	0 	NDSP
Ma Thida (Sanchaung)	အညိုမှသည် ကြက်သွေးနီသို့	2,500 	0 	
Ma Thida (Sanchaung)	ဒေါ်အောင်ဆန်းစုကြည်အတွက် စာတစ်စောင်	3,000 	0 	
Mar Yin Yin	ကျေနပ်တယ်	3,500 	0 	
Mar Yin Yin	ပျော်ရွှင်ခြင်းတံခါးပေါက်	3,000 	0 	
Mar Yin Yin	ဖြစ်ရိုးဖြစ်စဉ်	4,000 	1 	
Maung Moe Thu	Exodus	6,000 	0 	NDSP
Maung Myint Kywe	မြန်မာပြည်မှနေ့ရက်များ	4,000 	0 	
Maung Paw Tun	အကြီးအကဲ	12,000 	0 	
